"Task","Version","Status","Category"
"Implement Logger class (info/warn/error/debug)","V1","To Do","Core"
"Add child() and withContext()","V1","To Do","Core"
"Create ContextManager (basic key-value)","V1","To Do","Core"
"JSONFormatter","V1","To Do","Formatter"
"PrettyFormatter","V1","To Do","Formatter"
"ConsoleTransport","V1","To Do","Transport"
"FileTransport (simple rotation)","V1","To Do","Transport"
"MongoTransport","V1","To Do","Transport"
"Write README + examples","V1","To Do","Docs"
"Publish v1.0.0 to npm","V1","To Do","Release"
"AsyncQueue (batching, backpressure)","V2","To Do","Core"
"ALSContextManager (AsyncLocalStorage)","V2","To Do","Core"
"RetryPolicy (exponential)","V2","To Do","Core"
"BackoffStrategy","V2","To Do","Core"
"FormatterPipeline (chainable)","V2","To Do","Formatter"
"ProbabilisticSampler","V2","To Do","Sampler"
"RateLimitSampler (token bucket)","V2","To Do","Sampler"
"DedupSampler","V2","To Do","Sampler"
"MetricsCollector (throughput/failures)","V2","To Do","Metrics"
"RedisStreamTransport","V2","To Do","Transport"
"HTTPTransport (batch + compress)","V2","To Do","Transport"
"v2.0.0 Release + migration docs","V2","To Do","Release"
"DistributedContextManager (traceparent/tracestate)","V3","To Do","Tracing"
"Inject/extract trace headers for HTTP/Kafka","V3","To Do","Tracing"
"LogRouter ingestion API (HTTP/TCP/Redis)","V3","To Do","Router"
"Router batching + pipeline executor","V3","To Do","Router"
"Multi-sink routing rules","V3","To Do","Router"
"ElasticsearchTransport","V3","To Do","Transport"
"ClickHouseTransport","V3","To Do","Transport"
"LokiTransport","V3","To Do","Transport"
"S3ArchiveTransport","V3","To Do","Transport"
"KafkaTransport","V3","To Do","Transport"
"AWS CloudWatchTransport","V3","To Do","Cloud"
"GCP LoggingTransport","V3","To Do","Cloud"
"DatadogTransport","V3","To Do","Cloud"
"RetentionManager (TTL + cold storage move)","V3","To Do","Retention"
"Policy Engine (drop/sample/redact rules)","V3","To Do","Policy"
"WASM Stringifier","V3","To Do","Performance"
"Global Sampling Orchestrator","V3","To Do","Sampling"
"Leader Election","V3","To Do","Distributed"
"Heartbeats","V3","To Do","Distributed"
"Sharded queues","V3","To Do","Distributed"
"v3.0.0 Launch + architecture docs","V3","To Do","Release"
